,trainer_id,dnf,n_horses,n_starts,dnf_pct,smoothed_dnf_pct,smoothed_dnf_percentile
3475,257576,0,4,9,0.0,0.004850569185085622,46.0
3476,257586,0,25,109,0.0,0.004291801725297852,83.0
3477,257611,2,113,698,0.0028653295128939827,0.003929522454919045,93.0
3478,257616,0,23,131,0.0,0.0041857222195320455,87.0
3479,257646,1,7,58,0.017241379310344827,0.005783548412289213,16.0
3480,257663,0,1,1,0.0,0.004901622186190927,30.0
3481,257684,0,2,6,0.0,0.00486958894428304,42.0
3482,257690,2,9,34,0.058823529411764705,0.007219468953629961,4.0
3483,257782,1,31,94,0.010638297872340425,0.005539483562367222,19.0
3484,257857,0,25,212,0.0,0.0038365828990275692,94.0
3485,257956,0,34,159,0.0,0.0040580647702319565,90.0
3486,257967,0,12,57,0.0,0.004565270846626807,72.0
3487,258037,0,1,1,0.0,0.004901622186190927,30.0
3488,258117,1,96,436,0.0022935779816513763,0.003954236107551634,92.0
3489,258180,0,9,40,0.0,0.004662394095837584,67.0
3490,258419,0,9,66,0.0,0.004515472943574064,74.0
3491,258446,0,30,115,0.0,0.004262341376548939,84.0
3492,258465,0,4,19,0.0,0.004788229243436734,55.0
3493,258466,0,14,103,0.0,0.004321672155096862,83.0
3494,258579,4,74,334,0.011976047904191617,0.0070677507571536785,4.0
3495,258597,0,5,12,0.0,0.004831697423513651,49.0
3496,258599,1,28,303,0.0033003300330033004,0.004449407445846992,78.0
3497,258600,1,13,85,0.011764705882352941,0.005598548027934566,18.0
3498,258601,1,23,156,0.00641025641025641,0.005164164906259861,25.0
3499,258611,1,11,21,0.047619047619047616,0.006057866788531836,11.0
3500,258649,0,8,20,0.0,0.004782083267974672,56.0
3501,258708,0,1,2,0.0,0.00489518186661937,34.0
3502,258711,0,5,23,0.0,0.004763739643140177,58.0
3503,258757,0,35,187,0.0,0.003937963541627931,92.0
3504,258809,0,63,287,0.0,0.0035615153111309443,97.0
3505,258813,1,5,19,0.05263157894736842,0.006073438035851635,11.0
3506,258821,2,3,7,0.2857142857142857,0.00747391329726727,3.0
3507,258831,2,24,190,0.010526315789473684,0.006032811582647386,11.0
3508,258835,1,76,280,0.0035714285714285713,0.004547894576585771,73.0
3509,258860,0,8,44,0.0,0.004639171638939559,68.0
3510,258862,1,81,375,0.0026666666666666666,0.004166926233179134,87.0
3511,258920,2,47,230,0.008695652173913044,0.005788835804182919,15.0
3512,258988,0,1,1,0.0,0.004901622186190927,30.0
3513,259042,15,689,3156,0.004752851711026616,0.004782948350792653,55.0
3514,259062,0,4,16,0.0,0.004806762323038587,53.0
3515,259231,6,72,559,0.01073345259391771,0.007378623338809813,3.0
3516,259259,0,3,6,0.0,0.00486958894428304,42.0
3517,259321,0,10,34,0.0,0.004697666999463516,64.0
3518,259413,0,25,207,0.0,0.003856439268292335,94.0
3519,259506,0,23,131,0.0,0.0041857222195320455,87.0
3520,259585,3,28,156,0.019230769230769232,0.007349757351206896,3.0
3521,259717,0,2,11,0.0,0.004837971673292491,49.0
3522,259726,2,108,524,0.003816793893129771,0.004462408121168489,77.0
3523,259743,2,22,201,0.009950248756218905,0.00596369164229216,12.0
3524,259880,2,43,314,0.006369426751592357,0.005335691084950153,22.0
3525,259988,3,191,1014,0.0029585798816568047,0.003793189862680047,94.0
3526,259996,0,5,11,0.0,0.004837971673292491,49.0
3527,259997,0,2,9,0.0,0.004850569185085622,46.0
3528,260040,3,97,465,0.0064516129032258064,0.005494430759135271,20.0
3529,260144,0,27,171,0.0,0.004005707355785295,91.0
3530,260206,0,4,7,0.0,0.004863232473043695,43.0
3531,260212,0,3,24,0.0,0.004757656334673678,58.0
3532,260298,0,3,13,0.0,0.004825439426506,50.0
3533,260300,0,3,17,0.0,0.0048005687096652405,54.0
3534,260302,1,3,12,0.08333333333333333,0.00612857351178781,10.0
3535,260530,1,16,160,0.00625,0.005141689630239633,25.0
3536,260694,0,13,34,0.0,0.004697666999463516,64.0
3537,260748,0,1,1,0.0,0.004901622186190927,30.0
3538,260795,1,34,148,0.006756756756756757,0.0052097101185618324,24.0
3539,260800,1,81,373,0.002680965147453083,0.004174287749414913,87.0
3540,260819,5,69,661,0.007564296520423601,0.006144456935422545,9.0
3541,260925,1,14,36,0.027777777777777776,0.005943579446284355,13.0
3542,260937,0,12,41,0.0,0.00465656671283703,67.0
3543,260947,0,47,171,0.0,0.004005707355785295,91.0
3544,261036,1,17,178,0.0056179775280898875,0.005042925331700498,27.0
3545,261198,1,6,34,0.029411764705882353,0.005958567976546739,12.0
3546,261212,0,9,46,0.0,0.0046276469448118035,69.0
3547,261296,1,3,40,0.025,0.0059138274715238625,13.0
3548,261335,0,10,10,0.0,0.0048442622392404515,48.0
3549,261338,0,3,18,0.0,0.004794391036951699,54.0
3550,261396,0,6,16,0.0,0.004806762323038587,53.0
3551,261426,3,4,18,0.16666666666666666,0.008654979075887935,1.0
3552,261429,0,1,1,0.0,0.004901622186190927,30.0
3553,261431,0,23,118,0.0,0.004247762352595858,85.0
3554,261521,0,12,67,0.0,0.004510006823135384,75.0
3555,261544,0,1,1,0.0,0.004901622186190927,30.0
3556,261549,2,32,165,0.012121212121212121,0.006196022221629946,9.0
3557,261617,0,3,9,0.0,0.004850569185085622,46.0
3558,261629,0,11,30,0.0,0.004721480275835839,62.0
3559,261632,0,3,8,0.0,0.0048568925748884075,45.0
3560,261633,0,70,130,0.0,0.004190430125284033,86.0
3561,261655,0,11,55,0.0,0.0045764865751841,71.0
3562,261656,2,34,202,0.009900990099009901,0.005957486468172026,12.0
3563,261674,0,2,18,0.0,0.004794391036951699,54.0
3564,261725,5,146,668,0.0074850299401197605,0.006114317708942347,10.0
3565,261741,0,16,152,0.0,0.00408924352328643,89.0
3566,261755,0,29,165,0.0,0.004031716086798689,91.0
3567,261828,1,12,40,0.025,0.0059138274715238625,13.0
3568,261898,0,5,33,0.0,0.004703597770488131,63.0
3569,261904,2,66,419,0.00477326968973747,0.004860132711181198,44.0
3570,261938,0,21,139,0.0,0.004148436409625723,88.0
3571,261942,3,18,94,0.031914893617021274,0.007883919428104631,2.0
3572,261965,0,7,35,0.0,0.004691751165834284,64.0
3573,261971,2,52,382,0.005235602094240838,0.005017724053379272,27.0
3574,261972,0,14,70,0.0,0.004493687577409281,75.0
3575,262027,2,96,592,0.0033783783783783786,0.004237815259586753,85.0
3576,262030,0,2,4,0.0,0.004882351866636706,39.0
3577,262044,0,66,253,0.0,0.00368116106942127,96.0
3578,262050,1,48,120,0.008333333333333333,0.0053756464053231175,22.0
3579,262055,0,2,4,0.0,0.004882351866636706,39.0
3580,262075,0,23,205,0.0,0.0038644394850932597,93.0
3581,262076,1,25,136,0.007352941176470588,0.005279554449433546,23.0
3582,262095,0,24,120,0.0,0.004238098284431479,85.0
3583,262144,6,14,80,0.075,0.01159079027778714,0.0
3584,262157,2,45,381,0.005249343832020997,0.005022125242604325,27.0
3585,262229,0,2,2,0.0,0.00489518186661937,34.0
3586,262507,1,1,1,1.0,0.00621726678266121,8.0
3587,262539,0,9,32,0.0,0.00470954353555471,63.0
3588,262540,0,7,36,0.0,0.004685850213238839,65.0
3589,262662,6,149,894,0.006711409395973154,0.005883333757879864,14.0
3590,262701,0,2,11,0.0,0.004837971673292491,49.0
3591,262707,3,131,886,0.003386004514672686,0.004088328830556135,89.0
3592,262766,0,74,256,0.0,0.003670281687441377,96.0
3593,262979,2,108,643,0.003110419906687403,0.004083667130102654,89.0
3594,262998,0,10,30,0.0,0.004721480275835839,62.0
3595,262999,0,6,23,0.0,0.004763739643140177,58.0
3596,263019,0,4,11,0.0,0.004837971673292491,49.0
3597,263024,0,5,6,0.0,0.00486958894428304,42.0
3598,263086,0,2,3,0.0,0.004888758448917394,37.0
3599,263087,0,92,479,0.0,0.0030092013237178897,99.0
3600,263127,1,14,135,0.007407407407407408,0.005285459438537753,23.0
3601,263139,0,37,240,0.0,0.0037290600536279005,95.0
3602,263157,1,3,26,0.038461538461538464,0.006019285762945467,11.0
3603,263159,0,8,79,0.0,0.004445430835672051,78.0
3604,263287,2,68,456,0.0043859649122807015,0.004712138863720164,63.0
3605,263290,0,42,191,0.0,0.003921384103071688,93.0
3606,263295,0,67,331,0.0,0.003417758758230358,97.0
3607,263371,0,1,17,0.0,0.0048005687096652405,54.0
3608,263381,0,2,4,0.0,0.004882351866636706,39.0
3609,263388,1,20,63,0.015873015873015872,0.005748372258811313,16.0
3610,263461,0,2,11,0.0,0.004837971673292491,49.0
3611,263471,1,13,161,0.006211180124223602,0.005136101345516752,25.0
3612,263509,1,72,319,0.003134796238244514,0.004383373129796665,80.0
3613,263525,1,47,151,0.006622516556291391,0.005192536829421091,24.0
3614,263527,0,10,43,0.0,0.004644955538668578,68.0
3615,263579,0,1,1,0.0,0.004901622186190927,30.0
3616,263607,0,3,11,0.0,0.004837971673292491,49.0
3617,263609,0,5,13,0.0,0.004825439426506,50.0
3618,263627,1,19,135,0.007407407407407408,0.005285459438537753,23.0
3619,263634,0,6,18,0.0,0.004794391036951699,54.0
3620,263742,0,1,31,0.0,0.004715504351596621,62.0
3621,263813,0,11,13,0.0,0.004825439426506,50.0
3622,263892,0,1,8,0.0,0.0048568925748884075,45.0
3623,264244,0,1,6,0.0,0.00486958894428304,42.0
3624,264246,0,29,88,0.0,0.00439819951959373,80.0
3625,264375,0,5,17,0.0,0.0048005687096652405,54.0
3626,264427,0,5,55,0.0,0.0045764865751841,71.0
3627,264438,0,13,27,0.0,0.004739499274324685,60.0
3628,264441,1,41,246,0.0040650406504065045,0.004701740885203855,63.0
3629,264536,0,10,17,0.0,0.0048005687096652405,54.0
3630,264540,0,1,5,0.0,0.00487596205367687,40.0
3631,264547,0,12,38,0.0,0.004674092727117118,66.0
3632,264585,0,7,32,0.0,0.00470954353555471,63.0
3633,264667,0,2,2,0.0,0.00489518186661937,34.0
3634,264746,1,19,206,0.0048543689320388345,0.00489661479852316,33.0
3635,264749,0,5,13,0.0,0.004825439426506,50.0
3636,264779,0,1,1,0.0,0.004901622186190927,30.0
3637,264780,7,105,1062,0.006591337099811676,0.0058897035522709786,14.0
3638,264828,0,3,27,0.0,0.004739499274324685,60.0
3639,264882,0,28,263,0.0,0.0036451448301995704,96.0
3640,264934,0,12,90,0.0,0.00438783964678055,80.0
3641,264956,0,20,94,0.0,0.004367265629498517,81.0
3642,264966,0,10,30,0.0,0.004721480275835839,62.0
3643,264982,0,3,10,0.0,0.0048442622392404515,48.0
3644,264996,0,2,40,0.0,0.004662394095837584,67.0
3645,265108,1,31,189,0.005291005291005291,0.004984415540617049,27.0
3646,265127,0,2,21,0.0,0.0047759530497333775,56.0
3647,265130,2,23,174,0.011494252873563218,0.006136258879311615,10.0
3648,265209,2,24,221,0.00904977375565611,0.005841994042355455,15.0
3649,265222,0,1,1,0.0,0.004901622186190927,30.0
3650,265226,22,25,130,0.16923076923076924,0.028935007312088985,0.0
3651,265290,0,2,6,0.0,0.00486958894428304,42.0
3652,265446,0,16,117,0.0,0.0042526109331591745,85.0
3653,265448,1,2,7,0.14285714285714285,0.0061685728851554825,9.0
3654,265530,0,2,40,0.0,0.004662394095837584,67.0
3655,265540,1,21,182,0.005494505494505495,0.005021490786043344,27.0
3656,265681,0,10,39,0.0,0.004668236082276528,66.0
3657,265836,2,25,70,0.02857142857142857,0.006905989282791625,5.0
3658,265936,0,3,15,0.0,0.004812971938850562,52.0
3659,265967,0,1,8,0.0,0.0048568925748884075,45.0
3660,265968,4,16,163,0.024539877300613498,0.008378461912979914,1.0
3661,266003,0,13,91,0.0,0.004382677990702588,80.0
3662,266083,1,14,85,0.011764705882352941,0.005598548027934566,18.0
3663,266111,2,17,175,0.011428571428571429,0.0061296895976261775,10.0
3664,266115,0,10,56,0.0,0.0045708718307968885,72.0
3665,266117,1,55,281,0.0035587188612099642,0.004543521952902669,73.0
3666,266136,0,8,33,0.0,0.004703597770488131,63.0
3667,266442,1,29,196,0.00510204081632653,0.0049478837590162215,28.0
3668,266485,5,113,625,0.008,0.006304274185800147,8.0
3669,266858,0,3,3,0.0,0.004888758448917394,37.0
3670,266868,0,1,1,0.0,0.004901622186190927,30.0
3671,266998,2,86,527,0.003795066413662239,0.004451998826295579,77.0
3672,266999,1,13,87,0.011494252873563218,0.005585313998979365,19.0
3673,267009,0,95,292,0.0,0.003544573200126748,97.0
3674,267015,3,155,483,0.006211180124223602,0.005414806693190845,21.0
3675,267092,1,16,171,0.005847953216374269,0.005080879418725461,26.0
3676,267141,1,8,97,0.010309278350515464,0.0055200713823718274,20.0
3677,267142,0,22,83,0.0,0.004424314498249,79.0
3678,267184,0,17,163,0.0,0.004040460881071138,91.0
3679,267196,0,12,78,0.0,0.00445074145262376,78.0
3680,267241,2,50,299,0.006688963210702341,0.005411332895714708,21.0
3681,267260,0,18,117,0.0,0.0042526109331591745,85.0
3682,267289,0,17,100,0.0,0.00433676383546721,82.0
3683,267386,0,1,24,0.0,0.004757656334673678,58.0
3684,267387,0,26,159,0.0,0.0040580647702319565,90.0
3685,267394,0,8,36,0.0,0.004685850213238839,65.0
3686,267425,3,64,562,0.005338078291814947,0.005091004551127461,26.0
3687,267453,0,18,153,0.0,0.004084760115056677,89.0
3688,267532,4,108,560,0.007142857142857143,0.005856825565014298,14.0
3689,267534,1,87,667,0.0014992503748125937,0.0033137207247157527,98.0
3690,267577,2,194,845,0.002366863905325444,0.0035694166796602965,97.0
3691,267586,1,40,182,0.005494505494505495,0.005021490786043344,27.0
3692,267594,0,10,25,0.0,0.004751588543194823,59.0
3693,267608,0,1,1,0.0,0.004901622186190927,30.0
3694,267685,0,3,7,0.0,0.004863232473043695,43.0
3695,267700,1,39,169,0.005917159763313609,0.005091828602450731,26.0
3696,267718,0,16,108,0.0,0.004296751422510868,83.0
3697,267724,1,5,49,0.02040816326530612,0.005847962452983054,14.0
3698,267746,0,6,28,0.0,0.00473347767924811,61.0
3699,267747,0,5,11,0.0,0.004837971673292491,49.0
3700,267806,1,13,131,0.007633587786259542,0.005309212078862144,23.0
3701,267819,1,99,718,0.001392757660167131,0.00319930624835869,99.0
3702,267902,0,7,42,0.0,0.004650753878586054,67.0
3703,267920,0,5,35,0.0,0.004691751165834284,64.0
3704,267982,2,117,547,0.003656307129798903,0.004383825571252563,80.0
3705,268057,0,4,17,0.0,0.0048005687096652405,54.0
3706,268065,0,2,6,0.0,0.00486958894428304,42.0
3707,268119,2,15,75,0.02666666666666667,0.0068645906236213415,5.0
3708,268131,0,1,1,0.0,0.004901622186190927,30.0
3709,268137,0,18,208,0.0,0.0038524515686681987,94.0
3710,268150,0,6,36,0.0,0.004685850213238839,65.0
3711,268155,0,30,122,0.0,0.004228478089820865,86.0
3712,268157,0,6,13,0.0,0.004825439426506,50.0
3713,268166,0,1,5,0.0,0.00487596205367687,40.0
3714,268197,1,17,172,0.005813953488372093,0.005075422466282097,26.0
3715,268208,0,6,9,0.0,0.004850569185085622,46.0
3716,268213,0,90,460,0.0,0.0030561011597224786,99.0
3717,268217,3,148,1075,0.0027906976744186047,0.003667031725596106,96.0
3718,268249,0,3,42,0.0,0.004650753878586054,67.0
3719,268250,0,1,1,0.0,0.004901622186190927,30.0
3720,268270,3,98,626,0.004792332268370607,0.004855766569801519,46.0
3721,268367,1,306,1238,0.0008077544426494346,0.002366271930752341,100.0
3722,268370,5,124,648,0.007716049382716049,0.006201225371238772,9.0
3723,268383,0,5,52,0.0,0.004593413878605258,71.0
3724,268415,2,53,187,0.0106951871657754,0.006051941428065528,11.0
3725,268421,0,3,4,0.0,0.004882351866636706,39.0
